State,Date,Total,Category
Arizona,2022-02-01,182124830.9,Beverages
Arizona,2022-02-10,214133475.0,Beverages
Arizona,2022-02-13,193758114.9,Beverages
Arizona,2022-02-20,186140485.6,Beverages
Arizona,2022-02-27,191804855.70000002,Beverages
Arizona,2022-03-04,216587578.0,Beverages
Arizona,2022-03-07,230278333.9,Beverages
Arizona,2022-03-13,199341790.20000002,Beverages
Arizona,2022-03-20,203135958.2,Beverages
Arizona,2022-03-27,204330836.5,Beverages
Arizona,2022-04-09,232958487.29999998,Beverages
Arizona,2022-04-12,195652307.2,Beverages
Arizona,2022-04-17,217866946.60000002,Beverages
Arizona,2022-04-24,207194455.8,Beverages
Arizona,2022-05-06,221466462.0,Beverages
Arizona,2022-05-15,215137302.1,Beverages
Arizona,2022-05-22,215304100.4,Beverages
Arizona,2022-05-29,219462134.1,Beverages
Arizona,2022-06-02,191822689.70000002,Beverages
Arizona,2022-06-03,204336119.09999996,Beverages
Arizona,2022-06-11,212352076.00000003,Beverages
Arizona,2022-06-19,224705587.29999998,Beverages
Arizona,2022-06-26,215666630.00000003,Beverages
Arizona,2022-07-08,225961035.4,Beverages
Arizona,2022-07-17,218623208.29999998,Beverages
Arizona,2022-07-24,213178650.3,Beverages
Arizona,2022-07-31,211959850.9,Beverages
Arizona,2022-08-05,219329549.1,Beverages
Arizona,2022-08-14,220700930.1,Beverages
Arizona,2022-08-21,215522849.1,Beverages
Arizona,2022-08-28,222686060.39999998,Beverages
Arizona,2022-09-01,187226998.1,Beverages
Arizona,2022-09-10,218976018.5,Beverages
Arizona,2022-09-18,218387231.4,Beverages
Arizona,2022-09-25,211204050.2,Beverages
Arizona,2022-10-04,219518920.5,Beverages
Arizona,2022-10-07,220195809.9,Beverages
Arizona,2022-10-16,211117837.39999998,Beverages
Arizona,2022-10-23,206019098.1,Beverages
Arizona,2022-10-30,203716151.29999998,Beverages
Arizona,2022-11-09,226231108.1,Beverages
Arizona,2022-11-12,200138362.2,Beverages
Arizona,2022-11-13,209536786.6,Beverages
Arizona,2022-11-20,206468807.0,Beverages
Arizona,2022-11-27,200179529.7,Beverages
Arizona,2022-12-06,228960137.29999998,Beverages
Arizona,2022-12-18,204225386.70000002,Beverages
Arizona,2022-12-25,206642209.69999996,Beverages
Arizona,2023-01-01,188408489.6,Beverages
Arizona,2023-01-15,199308520.6,Beverages
Arizona,2023-01-22,191351463.50000003,Beverages
Arizona,2023-01-29,193432651.5,Beverages
Arizona,2023-02-04,215603137.5,Beverages
Arizona,2023-02-19,200168687.4,Beverages
Arizona,2023-02-26,201565059.0,Beverages
Arizona,2023-03-19,227766017.4,Beverages
Arizona,2023-03-26,207113291.6,Beverages
Arizona,2023-04-16,223021337.40000004,Beverages
Arizona,2023-04-23,220557322.8,Beverages
Arizona,2023-04-30,231156458.4,Beverages
Arizona,2023-05-02,203668152.6,Beverages
Arizona,2023-05-03,216243765.10000002,Beverages
Arizona,2023-07-05,240505460.4,Beverages
Arizona,2023-08-01,194629090.49999997,Beverages
Arizona,2023-09-04,229352434.70000002,Beverages
Arizona,2023-12-02,210784001.1,Beverages
