Date,State,Total,Year,Month,WeekOfYear,DayOfWeek,IsHoliday,Lag_1,Lag_7,Lag_14,Rolling_Mean_7,Rolling_Std_7,Rolling_Mean_30
2019-08-18,Indiana,124695383.0,2019,8,33,6,0,124695383.0,124695383.0,124695383.0,124695383.0,0.0,124695383.0
2019-08-25,Indiana,124695383.0,2019,8,34,6,0,124695383.0,124695383.0,124695383.0,124695383.0,0.0,124695383.0
2019-09-01,Indiana,124695383.0,2019,9,35,6,0,124695383.0,124695383.0,124695383.0,124695383.0,0.0,124695383.0
2019-09-08,Indiana,124695383.0,2019,9,36,6,0,124695383.0,124695383.0,124695383.0,124695383.0,0.0,124695383.0
2019-09-15,Indiana,124695383.0,2019,9,37,6,0,124695383.0,124695383.0,124695383.0,124695383.0,0.0,124695383.0
2019-09-22,Indiana,124695383.0,2019,9,38,6,0,124695383.0,124695383.0,124695383.0,124695383.0,0.0,124695383.0
2019-09-29,Indiana,124695383.0,2019,9,39,6,0,124695383.0,124695383.0,124695383.0,124695383.0,0.0,124695383.0
2019-10-06,Indiana,124695383.0,2019,10,40,6,0,124695383.0,124695383.0,124695383.0,124695383.0,0.0,124695383.0
2019-10-13,Indiana,124695383.0,2019,10,41,6,0,124695383.0,124695383.0,124695383.0,124695383.0,0.0,124695383.0
2019-10-20,Indiana,119459990.60000001,2019,10,42,6,0,124695383.0,124695383.0,124695383.0,123947469.8,1978792.329462509,124520869.92
2019-10-27,Indiana,117871950.8,2019,10,43,6,0,119459990.60000001,124695383.0,124695383.0,122972693.77142857,2977553.618949688,124293422.18
2019-11-03,Indiana,117871950.8,2019,11,44,6,0,117871950.8,124695383.0,124695383.0,121997917.74285714,3405719.5975672533,124065974.44
2019-11-10,Indiana,117871950.8,2019,11,45,6,0,117871950.8,124695383.0,124695383.0,121023141.71428572,3480649.415517088,123838526.7
2019-11-17,Indiana,118206969.8,2019,11,46,6,0,117871950.8,124695383.0,124695383.0,120096225.54285714,3191676.0275951475,123622246.26
2019-11-24,Indiana,122410436.5,2019,11,47,6,0,118206969.8,124695383.0,124695383.0,119769804.61428571,2725748.9451236003,123546081.37666668
2019-12-01,Indiana,122410436.5,2019,12,48,6,0,122410436.5,124695383.0,124695383.0,119443383.68571427,2103330.8439561487,123469916.49333334
2019-12-08,Indiana,122410436.5,2019,12,49,6,0,122410436.5,119459990.60000001,124695383.0,119864875.95714284,2384098.0231478307,123393751.61
2019-12-15,Indiana,120252020.6,2019,12,50,6,0,122410436.5,117871950.8,124695383.0,120204885.92857143,2216319.138108969,123245639.53
2019-12-22,Indiana,128150634.2,2019,12,51,6,0,120252020.6,117871950.8,124695383.0,121673269.27142857,3465826.1381526846,123360814.57
2019-12-29,Indiana,119937600.9,2019,12,52,6,0,128150634.2,117871950.8,124695383.0,121968362.14285715,3162927.675282081,123202221.83333333
2020-01-05,Indiana,119937600.9,2020,1,1,6,0,119937600.9,118206969.8,124695383.0,122215595.15714286,2874390.329545514,123043629.09666666
2020-01-12,Indiana,119937600.9,2020,1,2,6,0,119937600.9,122410436.5,124695383.0,121862332.92857143,2995843.06084423,122885036.36
2020-01-19,Indiana,118935093.8,2020,1,3,6,0,119937600.9,122410436.5,124695383.0,121365855.4,3172626.0339410496,122693026.72
2020-01-26,Indiana,111034723.3,2020,1,4,6,0,118935093.8,122410436.5,119459990.60000001,119740753.51428571,4958961.308042085,122237671.39666668
2020-02-02,Indiana,116658531.60000001,2020,2,5,6,0,111034723.3,120252020.6,117871950.8,119227397.94285715,5081694.989943505,121969776.35
2020-02-09,Indiana,116658531.60000001,2020,2,6,6,0,116658531.60000001,128150634.2,117871950.8,117585669.0,3241649.6664217254,121701881.30333333
2020-02-16,Indiana,115526770.7,2020,2,7,6,0,116658531.60000001,119937600.9,117871950.8,116955550.4,3135226.93904593,121396260.89333335
2020-02-23,Indiana,117564244.7,2020,2,8,6,0,115526770.7,119937600.9,118206969.8,116616499.51428571,2876661.34029516,121158556.28333333
2020-03-01,Indiana,117564244.7,2020,3,9,6,0,117564244.7,119937600.9,122410436.5,116277448.62857144,2540173.904860914,120920851.67333333
2020-03-08,Indiana,117564244.7,2020,3,10,6,0,117564244.7,118935093.8,122410436.5,116081613.04285714,2346600.5922546764,120683147.06333333
2020-03-15,Indiana,139416011.3,2020,3,11,6,0,117564244.7,111034723.3,122410436.5,120136082.75714287,8534158.612456538,121173834.67333333
2020-03-22,Indiana,138751371.1,2020,3,12,6,0,139416011.3,116658531.60000001,120252020.6,123292202.68571429,10814335.596388442,121642367.61
2020-03-29,Indiana,117694236.2,2020,3,13,6,0,138751371.1,116658531.60000001,128150634.2,123440160.48571429,10715079.113688007,121408996.05
2020-04-05,Indiana,117694236.2,2020,4,14,6,0,117694236.2,115526770.7,119937600.9,123749798.4142857,10476961.239981133,121175624.49
2020-04-12,Indiana,117694236.2,2020,4,15,6,0,117694236.2,117564244.7,119937600.9,123768368.62857144,10464277.694081923,120942252.93
2020-04-19,Indiana,127241009.2,2020,4,16,6,0,117694236.2,117564244.7,119937600.9,125150763.55714285,10142300.976608172,121027107.13666667
2020-04-26,Indiana,126769642.9,2020,4,17,6,0,127241009.2,117564244.7,118935093.8,126465820.44285716,9575641.791101495,121096249.13333334
2020-05-03,Indiana,126769642.9,2020,5,18,6,0,126769642.9,139416011.3,111034723.3,124659196.38571429,7742686.072794144,121165391.13000001
2020-05-10,Indiana,126769642.9,2020,5,19,6,0,126769642.9,138751371.1,116658531.60000001,122947520.92857143,4916823.024892068,121234533.12666668
2020-05-17,Indiana,134296407.5,2020,5,20,6,0,126769642.9,117694236.2,116658531.60000001,125319259.68571429,5871897.830563077,121729080.35666667
2020-05-24,Indiana,143051261.0,2020,5,21,6,0,134296407.5,117694236.2,115526770.7,128941691.8,7866637.266427814,122568390.69666667
2020-05-31,Indiana,138437085.70000002,2020,5,22,6,0,143051261.0,117694236.2,117564244.7,131904956.01428571,6751476.326278905,123253895.19333334
2020-06-07,Indiana,138437085.70000002,2020,6,23,6,0,138437085.70000002,127241009.2,117564244.7,133504395.51428573,6788513.17608416,123939399.69000001
2020-06-14,Indiana,143814236.2,2020,6,24,6,0,138437085.70000002,126769642.9,117564244.7,135939337.41428572,7023019.230190596,124792975.23666666
2020-06-21,Indiana,143264040.20000002,2020,6,25,6,0,143814236.2,126769642.9,139416011.3,138295679.8857143,6145978.619673245,125488095.35999998
2020-06-28,Indiana,146009547.1,2020,6,26,6,0,143264040.20000002,126769642.9,138751371.1,141044237.62857145,4090854.6438717474,126274732.38000001
2020-07-05,Indiana,146009547.1,2020,7,27,6,0,146009547.1,134296407.5,117694236.2,142717543.2857143,3160484.5158915054,127061369.4
2020-07-12,Indiana,146009547.1,2020,7,28,6,0,146009547.1,143051261.0,117694236.2,143140155.58571428,3401168.6167846336,127919953.61666666
2020-07-19,Indiana,146675199.0,2020,7,29,6,0,146009547.1,138437085.70000002,117694236.2,144317028.91428572,2889352.220632871,128537439.11
2020-07-26,Indiana,140947398.0,2020,7,30,6,0,146675199.0,138437085.70000002,127241009.2,144675644.95714286,2080487.9059642237,129237765.68
